source_id,source_label,source_kind,field_id,description,modality_category,ukb_type,feature_roles,column_count,instances,arrays,has_z_score,max_non_missing_count,example_columns,coding_id,ukb_showcase_url
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,10004,"Medication for pain relief, constipation, heartburn (pilot)",lifestyle_medication_diet,Categorical (multiple),ukb_field_value,5,0,0;1;2;3;4,false,3770,10004-0.0;10004-0.1;10004-0.2;10004-0.3;10004-0.4,100688,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=10004
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,10005,"Medication for smoking cessation, constipation, heartburn, allergies (pilot)",lifestyle_medication_diet,Categorical (multiple),ukb_field_value,3,0,0;1;2,false,3770,10005-0.0;10005-0.1;10005-0.2,100689,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=10005
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,10007,Vitamin and mineral supplements (pilot),other,Categorical (multiple),ukb_field_value,6,0,0;1;2;3;4;5,false,3770,10007-0.0;10007-0.1;10007-0.2;10007-0.3;10007-0.4;10007-0.5,100692,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=10007
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,102,"Pulse rate, automated reading",physical_measure,Integer,ukb_field_value,8,0;1;2;3,0;1,false,468076,102-0.0;102-0.1;102-1.0;102-1.1;102-2.0;102-2.1;102-3.0;102-3.1,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=102
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,10721,"Illness, injury, bereavement, stress in last 2 years (pilot)",other,Categorical (multiple),ukb_field_value,5,0,0;1;2;3;4,false,3770,10721-0.0;10721-0.1;10721-0.2;10721-0.3;10721-0.4,100683,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=10721
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,10723,Vitamin supplements (pilot),other,Categorical (multiple),ukb_field_value,6,0,0;1;2;3;4;5,false,3770,10723-0.0;10723-0.1;10723-0.2;10723-0.3;10723-0.4;10723-0.5,100691,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=10723
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,10767,Spread type (pilot),other,Categorical (single),ukb_field_value,1,0,0,false,3770,10767-0.0,100673,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=10767
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,10776,Bread type/intake (pilot),other,Categorical (single),ukb_field_value,1,0,0,false,3653,10776-0.0,100674,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=10776
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,10844,Gestational diabetes only (pilot),other,Categorical (single),ukb_field_value,1,0,0,false,63,10844-0.0,100349,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=10844
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,10854,Other dietary supplements (pilot),lifestyle_medication_diet,Categorical (multiple),ukb_field_value,6,0,0;1;2;3;4;5,false,3770,10854-0.0;10854-0.1;10854-0.2;10854-0.3;10854-0.4;10854-0.5,100690,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=10854
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,10855,"Never eat eggs, dairy, wheat, sugar (pilot)",other,Categorical (multiple),ukb_field_value,4,0,0;1;2;3,false,3770,10855-0.0;10855-0.1;10855-0.2;10855-0.3,100672,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=10855
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,10912,Variation in diet (pilot),lifestyle_medication_diet,Categorical (single),ukb_field_value,1,0,0,false,3770,10912-0.0,100394,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=10912
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1160,Sleep duration,lifestyle_medication_diet,Integer,ukb_field_value,4,0;1;2;3,0,false,501617,1160-0.0;1160-1.0;1160-2.0;1160-3.0,100291,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1160
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1190,Nap during day,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,501614,1190-0.0;1190-1.0;1190-2.0;1190-3.0,100343,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1190
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1200,Sleeplessness / insomnia,lifestyle_medication_diet,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,501613,1200-0.0;1200-1.0;1200-2.0;1200-3.0,100343,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1200
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1210,Snoring,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,501613,1210-0.0;1210-1.0;1210-2.0;1210-3.0,100345,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1210
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,12139,Believed safe to perform brain MRI scan,brain_mri_imaging,Categorical (single),ukb_field_value,2,2;3,0,false,48990,12139-2.0;12139-3.0,634,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=12139
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,12143,Weight (pre-imaging),physical_measure,Integer,ukb_field_value,2,2;3,0,false,48990,12143-2.0;12143-3.0,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=12143
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,12144,Height,physical_measure,Integer,ukb_field_value,2,2;3,0,false,48990,12144-2.0;12144-3.0,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=12144
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,12187,Brain MRI measuring method,brain_mri_imaging,Categorical (single),ukb_field_value,2,2;3,0,false,48041,12187-2.0;12187-3.0,470,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=12187
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,12188,Operator indicated brain MRI measurement completed,brain_mri_imaging,Categorical (single),ukb_field_value,2,2;3,0,false,46201,12188-2.0;12188-3.0,21,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=12188
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,12651,Duration of eprime test,other,Integer,ukb_field_value,2,2;3,0,false,39231,12651-2.0;12651-3.0,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=12651
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,12706,Eprime error flag,other,Categorical (single),ukb_field_value,2,2;3,0,false,385,12706-2.0;12706-3.0,100699,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=12706
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1289,Cooked vegetable intake,other,Integer,ukb_field_value,4,0;1;2;3,0,false,501611,1289-0.0;1289-1.0;1289-2.0;1289-3.0,100373,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1289
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1299,Salad / raw vegetable intake,other,Integer,ukb_field_value,4,0;1;2;3,0,false,501611,1299-0.0;1299-1.0;1299-2.0;1299-3.0,100373,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1299
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1309,Fresh fruit intake,other,Integer,ukb_field_value,4,0;1;2;3,0,false,501611,1309-0.0;1309-1.0;1309-2.0;1309-3.0,100373,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1309
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1319,Dried fruit intake,other,Integer,ukb_field_value,4,0;1;2;3,0,false,501610,1319-0.0;1319-1.0;1319-2.0;1319-3.0,100373,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1319
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1329,Oily fish intake,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,501610,1329-0.0;1329-1.0;1329-2.0;1329-3.0,100377,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1329
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1339,Non-oily fish intake,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,501610,1339-0.0;1339-1.0;1339-2.0;1339-3.0,100377,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1339
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,134,Number of self-reported cancers,derived_or_linked_outcome,Integer,ukb_field_value,4,0;1;2;3,0,false,501642,134-0.0;134-1.0;134-2.0;134-3.0,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=134
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1349,Processed meat intake,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,501609,1349-0.0;1349-1.0;1349-2.0;1349-3.0,100377,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1349
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,135,Number of self-reported non-cancer illnesses,derived_or_linked_outcome,Integer,ukb_field_value,4,0;1;2;3,0,false,501642,135-0.0;135-1.0;135-2.0;135-3.0,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=135
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1359,Poultry intake,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,501609,1359-0.0;1359-1.0;1359-2.0;1359-3.0,100377,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1359
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,136,"Number of operations, self-reported",other,Integer,ukb_field_value,4,0;1;2;3,0,false,501642,136-0.0;136-1.0;136-2.0;136-3.0,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=136
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1369,Beef intake,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,501609,1369-0.0;1369-1.0;1369-2.0;1369-3.0,100377,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1369
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,137,Number of treatments/medications taken,lifestyle_medication_diet,Integer,ukb_field_value,4,0;1;2;3,0,false,501642,137-0.0;137-1.0;137-2.0;137-3.0,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=137
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1379,Lamb/mutton intake,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,501609,1379-0.0;1379-1.0;1379-2.0;1379-3.0,100377,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1379
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1389,Pork intake,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,501607,1389-0.0;1389-1.0;1389-2.0;1389-3.0,100377,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1389
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1408,Cheese intake,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,489622,1408-0.0;1408-1.0;1408-2.0;1408-3.0,100377,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1408
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1418,Milk type used,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,501524,1418-0.0;1418-1.0;1418-2.0;1418-3.0,100387,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1418
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,1428,Spread type,other,Categorical (single),ukb_field_value,4,0;1;2;3,0,false,497837,1428-0.0;1428-1.0;1428-2.0;1428-3.0,100388,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1428
