coverage_scope,source_id,node_id,tree_path,instance,participant_count,source_participant_count,source_percent,group_count,feature_count
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577,Eye-brain ukb42577,0,502504,502505,100.0%,1517,8319
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577,Eye-brain ukb42577,1,20345,502505,4.0%,1517,8319
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577,Eye-brain ukb42577,2,49002,502505,9.8%,1517,8319
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577,Eye-brain ukb42577,3,3209,502505,0.6%,1517,8319
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577,Eye-brain ukb42577,all,502505,502505,100.0%,1517,8319
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone,Eye-brain ukb42577 > Body composition and bone,0,501573,502505,99.8%,40,179
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone,Eye-brain ukb42577 > Body composition and bone,1,20336,502505,4.0%,40,179
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone,Eye-brain ukb42577 > Body composition and bone,2,48643,502505,9.7%,40,179
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone,Eye-brain ukb42577 > Body composition and bone,3,3200,502505,0.6%,40,179
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone,Eye-brain ukb42577 > Body composition and bone,all,501590,502505,99.8%,40,179
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone_assessment_measurement,Eye-brain ukb42577 > Body composition and bone > Assessment measurement,0,492376,502505,98.0%,37,143
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone_assessment_measurement,Eye-brain ukb42577 > Body composition and bone > Assessment measurement,1,20044,502505,4.0%,37,143
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone_assessment_measurement,Eye-brain ukb42577 > Body composition and bone > Assessment measurement,2,46385,502505,9.2%,37,143
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone_assessment_measurement,Eye-brain ukb42577 > Body composition and bone > Assessment measurement,3,3123,502505,0.6%,37,143
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone_assessment_measurement,Eye-brain ukb42577 > Body composition and bone > Assessment measurement,all,493092,502505,98.1%,37,143
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone_assessment_measurement_bioimpedance_body_composition,Eye-brain ukb42577 > Body composition and bone > Assessment measurement > Bioimpedance body composition,0,492376,502505,98.0%,37,143
hide_missing_note,eye_brain_ukb42577,eye_brain_ukb42577__eye_brain_ukb42577_body_composition_and_bone_assessment_measurement_bioimpedance_body_composition,Eye-brain ukb42577 > Body composition and bone > Assessment measurement > Bioimpedance body composition,1,20044,502505,4.0%,37,143
