source_id,source_label,theme,group_id,feature_label,profile_type,value_type,column_count,non_missing_count,missing_percent,mean,sd,median,q1,q3,min,max,zero_percent,skewness,extreme_z_percent,observed_levels,summary_basis,unique_overflow
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_glycemia__glycemic_biomarkers__laboratory_measurement__glucose__30740,Glucose,numeric_summary,continuous numeric,2,445252,55.7%,5.1232,1.2376,4.947,4.602,5.3063,0.995,36.813,0.0%,5.9701,,,exact moments; quantiles from deterministic sample,
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_glycemia__glycemic_biomarkers__laboratory_measurement__glycated_haemoglobin_hba1c__30750,Glycated haemoglobin (HbA1c),numeric_summary,continuous numeric,2,480772,52.2%,36.1419,6.7482,35.3,32.8,38,15,515.2,0.0%,4.8682,,,exact moments; quantiles from deterministic sample,
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__creatinine__30700,Creatinine,numeric_summary,continuous numeric,2,487200,51.5%,72.4065,18.5237,70.5,61.4,80.9,10.7,1499,0.0%,12.891,,,exact moments; quantiles from deterministic sample,
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__creatinine_enzymatic_in_urine__30510,Creatinine (enzymatic) in urine,numeric_summary,continuous numeric,2,503645,49.9%,8887,5814,7524,4303,1.206e+04,88,8.816e+04,0.0%,1.3518,,,exact moments; quantiles from deterministic sample,
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__cystatin_c__30720,Cystatin C,numeric_summary,continuous numeric,2,487422,51.5%,0.9079,0.1761,0.888,0.805,0.983,0.295,7.487,0.0%,6.1027,,,exact moments; quantiles from deterministic sample,
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__microalbumin_in_urine__30500,Microalbumin in urine,numeric_summary,continuous numeric,2,159404,84.1%,31.0662,128.4488,11.6,8.5,19.525,6.7,6746,0.0%,18.7366,,,exact moments; quantiles from deterministic sample,
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__urate__30880,Urate,numeric_summary,continuous numeric,2,486854,51.6%,309.3939,80.3932,304.7,251.575,361.7,89.1,1068,0.0%,0.4736,,,exact moments; quantiles from deterministic sample,
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__urea__30670,Urea,numeric_summary,continuous numeric,2,487122,51.5%,5.4109,1.4011,5.26,4.49,6.14,0.81,41.83,0.0%,1.9593,,,exact moments; quantiles from deterministic sample,
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_lipids__lipid_biomarkers__laboratory_measurement__apolipoprotein_a__30630,Apolipoprotein A,numeric_summary,continuous numeric,2,443078,55.9%,1.5393,0.2709,1.5145,1.349,1.71,0.419,2.5,0.0%,0.5602,,,exact moments; quantiles from deterministic sample,
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_lipids__lipid_biomarkers__laboratory_measurement__apolipoprotein_b__30640,Apolipoprotein B,numeric_summary,continuous numeric,2,484995,51.7%,1.0317,0.2382,1.019,0.8708,1.1892,0.4,2,0.0%,0.3979,,,exact moments; quantiles from deterministic sample,
