source_id,source_label,profile_type,group_variable,group_value,group_value_label,theme,participant_count,with_data_count,missing_count,present_percent
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,ALL,ALL,ALL,Biochemistry biomarkers,502505,498749,3756,99.3%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,ALL,ALL,ALL,Blood count,502505,479352,23153,95.4%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,ALL,ALL,ALL,Vision / ophthalmic measurements,502505,501856,649,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,0-39,0-39,Biochemistry biomarkers,7,7,0,100.0%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,0-39,0-39,Blood count,7,7,0,100.0%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,0-39,0-39,Vision / ophthalmic measurements,7,6,1,85.7%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,40-49,40-49,Biochemistry biomarkers,117866,116827,1039,99.1%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,40-49,40-49,Blood count,117866,112027,5839,95.0%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,40-49,40-49,Vision / ophthalmic measurements,117866,117680,186,99.8%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,50-59,50-59,Biochemistry biomarkers,167142,165868,1274,99.2%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,50-59,50-59,Blood count,167142,159476,7666,95.4%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,50-59,50-59,Vision / ophthalmic measurements,167142,166941,201,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,60-69,60-69,Biochemistry biomarkers,215065,213639,1426,99.3%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,60-69,60-69,Blood count,215065,205533,9532,95.6%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,60-69,60-69,Vision / ophthalmic measurements,215065,214811,254,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,70-79,70-79,Biochemistry biomarkers,2424,2408,16,99.3%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,70-79,70-79,Blood count,2424,2309,115,95.3%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,70-79,70-79,Vision / ophthalmic measurements,2424,2418,6,99.8%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,Missing,Missing,Biochemistry biomarkers,1,0,1,0.0%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,Missing,Missing,Blood count,1,0,1,0.0%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,age_band,Missing,Missing,Vision / ophthalmic measurements,1,0,1,0.0%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,10003,Stockport (pilot),Biochemistry biomarkers,3792,1754,2038,46.3%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,10003,Stockport (pilot),Blood count,3792,475,3317,12.5%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,10003,Stockport (pilot),Vision / ophthalmic measurements,3792,3772,20,99.5%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11001,Manchester,Biochemistry biomarkers,13939,13908,31,99.8%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11001,Manchester,Blood count,13939,13615,324,97.7%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11001,Manchester,Vision / ophthalmic measurements,13939,13922,17,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11002,Oxford,Biochemistry biomarkers,14058,14019,39,99.7%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11002,Oxford,Blood count,14058,13718,340,97.6%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11002,Oxford,Vision / ophthalmic measurements,14058,14031,27,99.8%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11003,Cardiff,Biochemistry biomarkers,17878,17835,43,99.8%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11003,Cardiff,Blood count,17878,17399,479,97.3%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11003,Cardiff,Vision / ophthalmic measurements,17878,17865,13,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11004,Glasgow,Biochemistry biomarkers,18647,18603,44,99.8%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11004,Glasgow,Blood count,18647,17921,726,96.1%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11004,Glasgow,Vision / ophthalmic measurements,18647,18631,16,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11005,Edinburgh,Biochemistry biomarkers,17194,17127,67,99.6%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11005,Edinburgh,Blood count,17194,16092,1102,93.6%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11005,Edinburgh,Vision / ophthalmic measurements,17194,17171,23,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11006,Stoke,Biochemistry biomarkers,19433,19374,59,99.7%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11006,Stoke,Blood count,19433,18329,1104,94.3%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11006,Stoke,Vision / ophthalmic measurements,19433,19419,14,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11007,Reading,Biochemistry biomarkers,29408,29363,45,99.8%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11007,Reading,Blood count,29408,28635,773,97.4%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11007,Reading,Vision / ophthalmic measurements,29408,29351,57,99.8%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11008,Bury,Biochemistry biomarkers,28319,28096,223,99.2%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11008,Bury,Blood count,28319,27562,757,97.3%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11008,Bury,Vision / ophthalmic measurements,28319,28284,35,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11009,Newcastle,Biochemistry biomarkers,37001,36901,100,99.7%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11009,Newcastle,Blood count,37001,35822,1179,96.8%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11009,Newcastle,Vision / ophthalmic measurements,37001,36987,14,100.0%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11010,Leeds,Biochemistry biomarkers,44198,44045,153,99.7%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11010,Leeds,Blood count,44198,42202,1996,95.5%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11010,Leeds,Vision / ophthalmic measurements,44198,44170,28,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11011,Bristol,Biochemistry biomarkers,43012,42960,52,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11011,Bristol,Blood count,43012,41520,1492,96.5%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11011,Bristol,Vision / ophthalmic measurements,43012,42993,19,100.0%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11012,Barts,Biochemistry biomarkers,12581,12546,35,99.7%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11012,Barts,Blood count,12581,12116,465,96.3%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11012,Barts,Vision / ophthalmic measurements,12581,12450,131,99.0%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11013,Nottingham,Biochemistry biomarkers,33875,33815,60,99.8%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11013,Nottingham,Blood count,33875,32424,1451,95.7%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11013,Nottingham,Vision / ophthalmic measurements,33875,33849,26,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11014,Sheffield,Biochemistry biomarkers,30388,30277,111,99.6%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11014,Sheffield,Blood count,30388,29128,1260,95.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11014,Sheffield,Vision / ophthalmic measurements,30388,30364,24,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11016,Liverpool,Biochemistry biomarkers,32813,32722,91,99.7%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11016,Liverpool,Blood count,32813,31705,1108,96.6%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11016,Liverpool,Vision / ophthalmic measurements,32813,32787,26,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11017,Middlesborough,Biochemistry biomarkers,21286,21198,88,99.6%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11017,Middlesborough,Blood count,21286,20209,1077,94.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11017,Middlesborough,Vision / ophthalmic measurements,21286,21271,15,99.9%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11018,Hounslow,Biochemistry biomarkers,28875,28718,157,99.5%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11018,Hounslow,Blood count,28875,27549,1326,95.4%
eye_kidney_ukb42408,Eye-kidney ukb42408,theme_missingness,assessment_center,11018,Hounslow,Vision / ophthalmic measurements,28875,28808,67,99.8%
