source_id,source_label,profile_type,variable,column,field_id,instance,value,value_label,count,percent,non_missing_count,missing_percent,mean,sd,median,q1,q3,min,max,zero_percent,skewness,extreme_z_percent
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Sex / gender,31-0.0,31,0,0,Female,273382,54.4%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Sex / gender,31-0.0,31,0,1,Male,229122,45.6%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,numeric_summary,Year of birth,34-0.0,34,0,,,502504,100.0%,502504,0.0%,1952,8.1161,1950,1945,1958,1934,1971,0.0%,0.3169,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,5,5,45131,9.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,3,3,45105,9.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,4,4,43067,8.6%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,7,7,42595,8.5%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,1,1,42438,8.4%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,6,6,42428,8.4%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,8,8,41473,8.3%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,9,9,40925,8.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,10,10,40612,8.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,12,12,40399,8.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,2,2,39953,8.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Month of birth,52-0.0,52,0,11,11,38378,7.6%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-06-01,2010-06-01,837,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-14,2008-04-14,819,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-15,2008-04-15,812,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-11,2008-04-11,802,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-05-26,2010-05-26,801,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-19,2008-04-19,799,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-05-17,2010-05-17,789,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-18,2008-04-18,785,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-10,2008-04-10,784,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-08,2008-04-08,781,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2009-02-17,2009-02-17,780,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2009-02-14,2009-02-14,777,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-06-02,2010-06-02,776,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2009-02-28,2009-02-28,774,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-03-31,2008-03-31,773,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-16,2008-04-16,768,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-06-04,2010-06-04,765,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-05-25,2010-05-25,765,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-02,2008-04-02,759,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-06-08,2010-06-08,759,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-05-29,2008-05-29,754,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-05-24,2010-05-24,753,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-05-27,2010-05-27,751,0.1%,,,,,,,,,,,,
