source_id,source_label,theme,group_id,feature_label,visit_pair,participant_count_ge2_visits,observation_count,within_person_cv,between_person_cv,icc_approx,visit_pair_count,visit_pair_correlation
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_glycemia__glycemic_biomarkers__laboratory_measurement__glucose__30740,Glucose,0-1,13410,26820,0.0826,0.1747,0.5496,13410,0.4199
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_glycemia__glycemic_biomarkers__laboratory_measurement__glycated_haemoglobin_hba1c__30750,Glycated haemoglobin (HbA1c),0-1,12862,25724,0.047,0.1493,0.7769,12862,0.7574
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__creatinine__30700,Creatinine,0-1,16579,33158,0.065,0.2012,0.7818,16579,0.7682
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__creatinine_enzymatic_in_urine__30510,Creatinine (enzymatic) in urine,0-1,18685,37370,0.3745,0.5225,0.5074,18685,0.3498
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__cystatin_c__30720,Cystatin C,0-1,16607,33214,0.0505,0.163,0.8042,16607,0.8079
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__microalbumin_in_urine__30500,Microalbumin in urine,0-1,2805,5610,0.3855,2.8563,0.541,2805,0.4547
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__urate__30880,Urate,0-1,16559,33118,0.0813,0.2409,0.8308,16559,0.8183
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_kidney_function__kidney_function_and_urine_chemistry__laboratory_measurement__urea__30670,Urea,0-1,16586,33172,0.1179,0.2157,0.6535,16586,0.588
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_lipids__lipid_biomarkers__laboratory_measurement__apolipoprotein_a__30630,Apolipoprotein A,0-1,13289,26578,0.065,0.161,0.778,13289,0.7686
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_lipids__lipid_biomarkers__laboratory_measurement__apolipoprotein_b__30640,Apolipoprotein B,0-1,16484,32968,0.0976,0.2087,0.7067,16484,0.6564
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_lipids__lipid_biomarkers__laboratory_measurement__cholesterol__30690,Cholesterol,0-1,16622,33244,0.0883,0.1852,0.7066,16622,0.6575
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_lipids__lipid_biomarkers__laboratory_measurement__hdl_cholesterol__30760,HDL cholesterol,0-1,13429,26858,0.0812,0.2501,0.8432,13429,0.8459
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_lipids__lipid_biomarkers__laboratory_measurement__ldl_direct__30780,LDL direct,0-1,16537,33074,0.1074,0.2236,0.6992,16537,0.6466
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_lipids__lipid_biomarkers__laboratory_measurement__lipoprotein_a__30790,Lipoprotein A,0-1,12203,24406,0.1744,1.0696,0.9499,12203,0.9511
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_lipids__lipid_biomarkers__laboratory_measurement__triglycerides__30870,Triglycerides,0-1,16584,33168,0.2254,0.5035,0.6678,16584,0.6024
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_liver_function__liver_enzymes_and_bilirubin__laboratory_measurement__alanine_aminotransferase__30620,Alanine aminotransferase,0-1,16609,33218,0.1949,0.4686,0.5709,16609,0.4559
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_liver_function__liver_enzymes_and_bilirubin__laboratory_measurement__alkaline_phosphatase__30610,Alkaline phosphatase,0-1,16615,33230,0.0934,0.2641,0.75,16615,0.7191
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_liver_function__liver_enzymes_and_bilirubin__laboratory_measurement__aspartate_aminotransferase__30650,Aspartate aminotransferase,0-1,16494,32988,0.118,0.3066,0.5349,16494,0.4
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_liver_function__liver_enzymes_and_bilirubin__laboratory_measurement__direct_bilirubin__30660,Direct bilirubin,0-1,12634,25268,0.1575,0.3975,0.7396,12634,0.702
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_liver_function__liver_enzymes_and_bilirubin__laboratory_measurement__gamma_glutamyltransferase__30730,Gamma glutamyltransferase,0-1,16603,33206,0.1735,0.9036,0.7154,16603,0.6695
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_liver_function__liver_enzymes_and_bilirubin__laboratory_measurement__total_bilirubin__30840,Total bilirubin,0-1,16451,32902,0.161,0.4541,0.7909,16451,0.7683
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_minerals_vitamins__mineral_and_vitamin_biomarkers__laboratory_measurement__calcium__30680,Calcium,0-1,13430,26860,0.0244,0.0334,0.5235,13430,0.4158
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_minerals_vitamins__mineral_and_vitamin_biomarkers__laboratory_measurement__phosphate__30810,Phosphate,0-1,13377,26754,0.0852,0.1125,0.5273,13377,0.4535
eye_kidney_ukb42408,Eye-kidney ukb42408,Biochemistry biomarkers,eye_kidney_ukb42408__clinical_biomarkers_minerals_vitamins__mineral_and_vitamin_biomarkers__laboratory_measurement__vitamin_d__30890,Vitamin D,0-1,15436,30872,0.2311,0.3832,0.634,15436,0.5562
