source_id,group_id,instance,participant_count,source_participant_count,source_percent
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_mass_left__23124,all,492899,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_mass_left__23124,0,492152,502505,97.9%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_mass_left__23124,1,20043,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_mass_left__23124,2,46384,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_mass_left__23124,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_mass_right__23120,all,492965,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_mass_right__23120,0,492229,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_mass_right__23120,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_mass_right__23120,2,46384,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_mass_right__23120,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_percentage_left__23123,all,492937,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_percentage_left__23123,0,492194,502505,97.9%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_percentage_left__23123,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_percentage_left__23123,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_percentage_left__23123,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_percentage_right__23119,all,492997,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_percentage_right__23119,0,492263,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_percentage_right__23119,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_percentage_right__23119,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_percentage_right__23119,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_free_mass_left__23125,all,492884,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_free_mass_left__23125,0,492136,502505,97.9%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_free_mass_left__23125,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_fat_free_mass_left__23125,2,46385,502505,9.2%
