target_id,target_name,target_family,target_type,source_id,source_label,feature_count,participant_count_proxy,coverage_count_type,exact_target_columns,exact_target_columns_sample,notes
metabolite_csv:aaa_2104,aaa_2104,Aortic aneurysm,status/binary outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:aaa_2104,metabolite_csv:aaa_2104,Exact curated disease/status/date column from METABOLITE.csv.
metabolite_csv:aaa_date_2104,aaa_date_2104,Aortic aneurysm,event/date outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:aaa_date_2104,metabolite_csv:aaa_date_2104,Exact curated disease/status/date column from METABOLITE.csv.
metabolite_csv:incident_aaa_2104,incident_aaa_2104,Aortic aneurysm,incident binary outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:incident_aaa_2104,metabolite_csv:incident_aaa_2104,Exact curated disease/status/date column from METABOLITE.csv.
metabolite_csv:prior_aaa_2104,prior_aaa_2104,Aortic aneurysm,prevalent/prior binary outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:prior_aaa_2104,metabolite_csv:prior_aaa_2104,Exact curated disease/status/date column from METABOLITE.csv.
metabolite_csv:cvd_af_2104,cvd_af_2104,Atrial fibrillation,status/binary outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:cvd_af_2104,metabolite_csv:cvd_af_2104,Exact curated disease/status/date column from METABOLITE.csv.
metabolite_csv:cvd_af_date_2104,cvd_af_date_2104,Atrial fibrillation,event/date outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:cvd_af_date_2104,metabolite_csv:cvd_af_date_2104,Exact curated disease/status/date column from METABOLITE.csv.
metabolite_csv:incident_cvd_af_2104,incident_cvd_af_2104,Atrial fibrillation,incident binary outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:incident_cvd_af_2104,metabolite_csv:incident_cvd_af_2104,Exact curated disease/status/date column from METABOLITE.csv.
metabolite_csv:prior_cvd_af_2104,prior_cvd_af_2104,Atrial fibrillation,prevalent/prior binary outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:prior_cvd_af_2104,metabolite_csv:prior_cvd_af_2104,Exact curated disease/status/date column from METABOLITE.csv.
metabolite_csv:fracture_2104,fracture_2104,Bone / fracture,status/binary outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:fracture_2104,metabolite_csv:fracture_2104,Exact curated disease/status/date column from METABOLITE.csv.
metabolite_csv:fracture_date_2104,fracture_date_2104,Bone / fracture,event/date outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:fracture_date_2104,metabolite_csv:fracture_date_2104,Exact curated disease/status/date column from METABOLITE.csv.
metabolite_csv:incident_fracture_2104,incident_fracture_2104,Bone / fracture,incident binary outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:incident_fracture_2104,metabolite_csv:incident_fracture_2104,Exact curated disease/status/date column from METABOLITE.csv.
metabolite_csv:prior_fracture_2104,prior_fracture_2104,Bone / fracture,prevalent/prior binary outcome,metabolite_csv,METABOLITE.csv,1,502476,source row count used when outcome non-missing count was not profiled,metabolite_csv:prior_fracture_2104,metabolite_csv:prior_fracture_2104,Exact curated disease/status/date column from METABOLITE.csv.
