target_id,target_name,target_family,predictor,availability_status,reason
metabolite_csv:aaa_2104,aaa_2104,Aortic aneurysm,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:aaa_2104,aaa_2104,Aortic aneurysm,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:aaa_2104,aaa_2104,Aortic aneurysm,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:aaa_2104,aaa_2104,Aortic aneurysm,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:aaa_2104,aaa_2104,Aortic aneurysm,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:aaa_2104,aaa_2104,Aortic aneurysm,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:aaa_2104,aaa_2104,Aortic aneurysm,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:aaa_2104,aaa_2104,Aortic aneurysm,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:aaa_2104,aaa_2104,Aortic aneurysm,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:aaa_2104,aaa_2104,Aortic aneurysm,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
metabolite_csv:aaa_date_2104,aaa_date_2104,Aortic aneurysm,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:aaa_date_2104,aaa_date_2104,Aortic aneurysm,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:aaa_date_2104,aaa_date_2104,Aortic aneurysm,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:aaa_date_2104,aaa_date_2104,Aortic aneurysm,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:aaa_date_2104,aaa_date_2104,Aortic aneurysm,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:aaa_date_2104,aaa_date_2104,Aortic aneurysm,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:aaa_date_2104,aaa_date_2104,Aortic aneurysm,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:aaa_date_2104,aaa_date_2104,Aortic aneurysm,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:aaa_date_2104,aaa_date_2104,Aortic aneurysm,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:aaa_date_2104,aaa_date_2104,Aortic aneurysm,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
metabolite_csv:incident_aaa_2104,incident_aaa_2104,Aortic aneurysm,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
